condition | icdv | dx | method         | pattern
rhd       | 10   | 1  | ludvigsson2021 | ^M07\.?[0-3]
rhd       | 10   | 1  | ludvigsson2021 | ^M0[058]
rhd       | 10   | 1  | ludvigsson2021 | ^M12\.?3
rhd       | 10   | 1  | ludvigsson2021 | ^M13
rhd       | 10   | 1  | ludvigsson2021 | ^M30
rhd       | 10   | 1  | ludvigsson2021 | ^M31\.?[3-6]
rhd       | 10   | 1  | ludvigsson2021 | ^M32
rhd       | 10   | 1  | ludvigsson2021 | ^M33
rhd       | 10   | 1  | ludvigsson2021 | ^M34
rhd       | 10   | 1  | ludvigsson2021 | ^M35\.?0
rhd       | 10   | 1  | ludvigsson2021 | ^M35\.?1
rhd       | 10   | 1  | ludvigsson2021 | ^M35\.?3
rhd       | 10   | 1  | ludvigsson2021 | ^M45
rhd       | 10   | 1  | ludvigsson2021 | ^M46
rnd       | 10   | 1  | ludvigsson2021 | ^I12\.?0
rnd       | 10   | 1  | ludvigsson2021 | ^I13\.?1
rnd       | 10   | 1  | ludvigsson2021 | ^N03\.?[2-7]
rnd       | 10   | 1  | ludvigsson2021 | ^N05\.?[2-7]
rnd       | 10   | 1  | ludvigsson2021 | ^N11
rnd       | 10   | 1  | ludvigsson2021 | ^N18
rnd       | 10   | 1  | ludvigsson2021 | ^N19
rnd       | 10   | 1  | ludvigsson2021 | ^N25\.?0
rnd       | 10   | 1  | ludvigsson2021 | ^Q61\.?[1-4]
rnd       | 10   | 1  | ludvigsson2021 | ^Z49
rnd       | 10   | 1  | ludvigsson2021 | ^Z94\.?0
rnd       | 10   | 1  | ludvigsson2021 | ^Z99\.?2
