condition | icdv | dx | method      | pattern
dem       | 10   | 1  | mimicivcode | ^G30
dem       | 10   | 1  | mimicivcode | ^G31\.?1
dem       | 9    | 1  | mimicivcode | ^290
dem       | 9    | 1  | mimicivcode | ^294\.?1
dem       | 9    | 1  | mimicivcode | ^331\.?2
copd      | 10   | 1  | mimicivcode | ^I27\.?[89]
copd      | 10   | 1  | mimicivcode | ^J68\.?4
copd      | 10   | 1  | mimicivcode | ^J70\.?[13]
copd      | 10   | 1  | mimicivcode | ^J[46][0-7]
copd      | 9    | 1  | mimicivcode | ^416\.?[89]
copd      | 9    | 1  | mimicivcode | ^49
copd      | 9    | 1  | mimicivcode | ^506\.?4
copd      | 9    | 1  | mimicivcode | ^508\.?[18]
copd      | 9    | 1  | mimicivcode | ^50[0-5]
rhd       | 10   | 1  | mimicivcode | ^M0[56]
rhd       | 10   | 1  | mimicivcode | ^M31\.?5
rhd       | 10   | 1  | mimicivcode | ^M35\.?[13]
rhd       | 10   | 1  | mimicivcode | ^M36\.?0
rhd       | 10   | 1  | mimicivcode | ^M3[2-4]
rhd       | 9    | 1  | mimicivcode | ^446\.?5
rhd       | 9    | 1  | mimicivcode | ^710\.?[0-4]
rhd       | 9    | 1  | mimicivcode | ^714\.?[0-28]
rhd       | 9    | 1  | mimicivcode | ^725
pud       | 10   | 1  | mimicivcode | ^K2[5-8]
pud       | 9    | 1  | mimicivcode | ^53[1-4]
mld       | 10   | 1  | mimicivcode | ^B18
mld       | 10   | 1  | mimicivcode | ^K70\.?[0-39]
mld       | 10   | 1  | mimicivcode | ^K71\.?[3-57]
mld       | 10   | 1  | mimicivcode | ^K76\.?[02-489]
mld       | 10   | 1  | mimicivcode | ^K7[34]
mld       | 10   | 1  | mimicivcode | ^Z94\.?4
mld       | 9    | 1  | mimicivcode | ^070\.?[23][23]
mld       | 9    | 1  | mimicivcode | ^070\.?[45]4
mld       | 9    | 1  | mimicivcode | ^070\.?[69]
mld       | 9    | 1  | mimicivcode | ^573\.?[3489]
mld       | 9    | 1  | mimicivcode | ^57[01]
mld       | 9    | 1  | mimicivcode | ^V42\.?7
dm        | 10   | 1  | mimicivcode | ^E1[0-4]\.?[01689]
dm        | 9    | 1  | mimicivcode | ^250\.?[0-389]
rnd       | 10   | 1  | mimicivcode | ^I12\.?0
rnd       | 10   | 1  | mimicivcode | ^I13\.?1
rnd       | 10   | 1  | mimicivcode | ^N0[35]\.?[2-7]
rnd       | 10   | 1  | mimicivcode | ^N1[89]
rnd       | 10   | 1  | mimicivcode | ^N25\.?0
rnd       | 10   | 1  | mimicivcode | ^Z49\.?[0-2]
rnd       | 10   | 1  | mimicivcode | ^Z94\.?0
rnd       | 10   | 1  | mimicivcode | ^Z99\.?2
rnd       | 9    | 1  | mimicivcode | ^403\.?[019]1
rnd       | 9    | 1  | mimicivcode | ^404\.?[019][23]
rnd       | 9    | 1  | mimicivcode | ^582
rnd       | 9    | 1  | mimicivcode | ^583\.?[0-7]
rnd       | 9    | 1  | mimicivcode | ^588\.?0
rnd       | 9    | 1  | mimicivcode | ^58[56]
rnd       | 9    | 1  | mimicivcode | ^V42\.?0
rnd       | 9    | 1  | mimicivcode | ^V45\.?1
rnd       | 9    | 1  | mimicivcode | ^V56
dmc       | 10   | 1  | mimicivcode | ^E1[0-4]\.?[2-57]
dmc       | 9    | 1  | mimicivcode | ^250\.?[4-7]
hp        | 10   | 1  | mimicivcode | ^G04\.?1
hp        | 10   | 1  | mimicivcode | ^G11\.?4
hp        | 10   | 1  | mimicivcode | ^G80\.?[12]
hp        | 10   | 1  | mimicivcode | ^G83\.?[0-49]
hp        | 10   | 1  | mimicivcode | ^G8[1-2]
hp        | 9    | 1  | mimicivcode | ^334\.?1
hp        | 9    | 1  | mimicivcode | ^344\.?[0-69]
hp        | 9    | 1  | mimicivcode | ^34[2-3]
mal       | 10   | 1  | mimicivcode | ^C[01]
mal       | 10   | 1  | mimicivcode | ^C2[0-6]
mal       | 10   | 1  | mimicivcode | ^C3[0-47-9]
mal       | 10   | 1  | mimicivcode | ^C4[0135-9A]
mal       | 10   | 1  | mimicivcode | ^C5[0-8]
mal       | 10   | 1  | mimicivcode | ^C6
mal       | 10   | 1  | mimicivcode | ^C7[0-6]
