condition ; icdv ; dx ; method           ; pattern
mld       ; 10   ; 1  ; mimicivcode      ; ^(B18|K7(0\.?[0-39]|1\.?[3-57]|[34]|6\.?[02-489])|Z94\.?4)
mld       ; 10   ; 1  ; quan2005         ; ^(B18|K7(0\.?[0-39]|1\.?[3-57]|[34]|6\.?[02-489])|Z94\.?4)
mld       ; 10   ; 1  ; sundararajan2004 ; ^K7(0\.?[23]|1\.?7|3|4\.?[02-6])
mld       ; 9    ; 1  ; cdmf2019         ; ^(070\.?(2[23]|3[23]|[45]4|[69])|57([0-1]|3\.?[3489])|V42\.?7)
mld       ; 9    ; 1  ; deyo1992         ; ^571\.?[24-6]
mld       ; 9    ; 1  ; mimicivcode      ; ^(070\.?([23][23]|[45]4|[69])|57([01]|3\.?[3489])|V42\.?7)
mld       ; 9    ; 1  ; quan2005         ; ^(070\.?([23][23]|[45]4|[69])|57([01]|3\.?[3489])|V42\.?7)
msld      ; 10   ; 1  ; cdmf2019         ; ^(I8(5\.?0|6\.?4)|K7(0\.?4|1\.?1|2\.?[19]|6\.?[5-7]))
msld      ; 10   ; 1  ; ludvigsson2021   ; ^(I(85\.?[09]|98\.?[23])|R18)
msld      ; 10   ; 1  ; mimicivcode      ; ^(I(8(5\.?[09]|6\.?4)|98\.?2)|K7(0\.?4|1\.?1|2\.?[19]|6\.?[5-7]))
msld      ; 10   ; 1  ; quan2005         ; ^(I(8(5\.?[09]|6\.?4)|98\.?2)|K7(0\.?4|1\.?1|2\.?[19]|6\.?[5-7]))
msld      ; 10   ; 1  ; sundararajan2004 ; ^K7(2\.?[19]|6\.?[67])
msld      ; 9    ; 1  ; cdmf2019         ; ^(456\.?[0-2]|572\.?[2-48])
msld      ; 9    ; 1  ; deyo1992         ; ^(456\.?([01]|21)|572\.?[2-8])
msld      ; 9    ; 1  ; mimicivcode      ; ^(456\.?([01]|2[01])|572\.?[2-8])
msld      ; 9    ; 1  ; quan2005         ; ^(456\.?([01]|2[01])|572\.?[2-8])
mst       ; 10   ; 1  ; cdmf2019         ; ^C(7[7-9]|80\.?[02])
mst       ; 10   ; 1  ; ludvigsson2021   ; ^C(7[7-9]|80)
mst       ; 10   ; 1  ; mimicivcode      ; ^C(7[7-9]|80)
mst       ; 10   ; 1  ; quan2005         ; ^C(7[7-9]|80)
mst       ; 10   ; 1  ; sundararajan2004 ; ^C(7[789]|80)
mst       ; 9    ; 1  ; cdmf2019         ; ^19[6-9]
mst       ; 9    ; 1  ; deyo1992         ; ^19([6-8]|9\.?1)
mst       ; 9    ; 1  ; mimicivcode      ; ^19[6-9]
mst       ; 9    ; 1  ; quan2005         ; ^19[6-9]
ocpd      ; 10   ; 1  ; ludvigsson2021   ; ^J(4[12567]|6[0-9]|70)
pud       ; 10   ; 1  ; cdmf2019         ; ^K2[5-8]
pud       ; 10   ; 1  ; ludvigsson2021   ; ^K2[5-8]
pud       ; 10   ; 1  ; mimicivcode      ; ^K2[5-8]
pud       ; 10   ; 1  ; quan2005         ; ^K2[5-8]
pud       ; 10   ; 1  ; sundararajan2004 ; ^K2[5-8]
pud       ; 9    ; 1  ; cdmf2019         ; ^53[1-4]
pud       ; 9    ; 1  ; deyo1992         ; ^53[1-4]
pud       ; 9    ; 1  ; mimicivcode      ; ^53[1-4]
pud       ; 9    ; 1  ; quan2005         ; ^53[1-4]
pvd       ; 10   ; 1  ; cdmf2019         ; ^(I7([01]|3\.?[189]|7\.?1|9\.?[018])|K55\.?[189]|Z95\.?[89])
pvd       ; 10   ; 1  ; ludvigsson2021   ; ^(I7([01]|3\.?[189]|7\.?1|9\.?[02])|K55)
pvd       ; 10   ; 1  ; mimicivcode      ; ^(I7([01]|3\.?[189]|7\.?1|9\.?[02])|K55\.?[189]|Z95\.?[89])
pvd       ; 10   ; 1  ; quan2005         ; ^(I7([01]|3\.?[189]|7\.?1|9\.?[02])|K55\.?[189]|Z95\.?[89])
pvd       ; 10   ; 1  ; sundararajan2004 ; ^(I7(1|9\.?0|3\.?9)|R02|Z95\.?[89])
pvd       ; 9    ; 0  ; deyo1992         ; ^38\.?48
pvd       ; 9    ; 1  ; cdmf2019         ; ^(093\.?0|4(37\.?3|4([01]|3\.?[1289]|7\.?1))|557\.?[19]|V43\.?4)
pvd       ; 9    ; 1  ; deyo1992         ; ^(44(1|3\.?9)|785\.?4|V43\.?4)
pvd       ; 9    ; 1  ; mimicivcode      ; ^(093\.?0|4(37\.?3|4([01]|3\.?[1-9]|7\.?1))|557\.?[19]|V43\.?4)
pvd       ; 9    ; 1  ; quan2005         ; ^(093\.?0|4(37\.?3|4([01]|3\.?[1-9]|7\.?1))|557\.?[19]|V43\.?4)
rhd       ; 10   ; 1  ; cdmf2019         ; ^M(0[56]|3(1\.?5|5\.?[13]|6\.?0|[2-4]))
rhd       ; 10   ; 1  ; ludvigsson2021   ; ^M(0([568]|7\.?[0-3])|1(2\.?3|3)|3([0234]|1\.?[3-6]|5\.?[013])|4[56])
